District,former_german_partition,former_russian_partition,former_ah_partition,distance_to_german_border,distance_to_russian_border,distance_to_AH_border
AUGUSTOWSKI,False,True,False,178.85883712922458,178.85883712922458,354.35017348221965
BARANOWICKI,False,True,False,354.3110480138957,293.39531135488534,293.39531135488534
BIALSKI (BIAŁA KRAKOWSKA),False,False,True,46.557833006058196,39.028501153971064,39.028501153971064
BIALSKI (BIAŁA PODLASKA),False,True,False,222.59790076446444,160.81024453677716,160.81024453677716
BIAŁOSTOCKI,False,True,False,158.78566207135498,158.78566207135498,288.74566247479754
BIAŁYSTOK (MIASTO),False,True,False,166.4760212397298,166.4760212397298,280.2927399679754
BIELSKI (BIELSK PODLASKI),False,True,False,184.6443390007993,184.6443390007993,229.33053419894253
BIELSKI (BIELSKO),False,False,True,39.15985442651097,47.019905879086814,39.15985442651097
BIELSKO (MIASTO),False,False,True,46.26387646723092,47.38421776526079,46.26387646723092
BIŁGORAJSKI,False,True,False,254.8241380509423,8.3537989882833,8.3537989882833
BOCHEŃSKI,False,False,True,111.24860684599335,9.896739670822633,9.896739670822633
BORSZCZOWSKI,False,False,True,541.6563666024084,113.23697070739782,113.23697070739782
BRASŁAWSKI,False,True,False,488.50153501298985,488.50153501298985,582.767146462228
BRODNICKI,True,False,False,14.725448241603784,14.725448241603784,332.97107612921644
BRODZKI,False,False,True,431.66734429499206,9.516339608719836,9.516339608719836
BRZESKI (BRZESKO),False,False,True,129.91044548211337,21.623165698711865,21.623165698711865
BRZESKI (BRZEŚĆ N.BUG.),False,True,False,245.75127902833063,159.45091376665656,159.45091376665656
BRZEZIŃSKI,False,True,False,116.90934346013813,116.90934346013813,172.36896840938684
BRZEŻAŃSKI,False,False,True,439.0266672151307,54.94755656749663,54.94755656749663
BRZOZOWSKI,False,False,True,231.6200717774087,73.26451186701483,73.26451186701483
BUCZACKI,False,False,True,474.7441109220084,88.17480067514957,88.17480067514957
BYDGOSKI,True,False,False,54.71871464914354,54.71871464914354,330.78544122906624
BYDGOSZCZ (MIASTO),True,False,False,46.00878547708823,46.00878547708823,321.6089755896
BÓBRECKI,False,False,True,385.69180096429784,91.08094546947062,91.08094546947062
BĘDZIŃSKI,False,True,False,15.21061803303616,11.01728359044416,11.01728359044416
BŁOŃSKI,False,True,False,117.52454188432127,117.52454188432127,176.79051100209583
CHEŁMIŃSKI,True,False,False,38.740106679834106,38.740106679834106,334.4477003045211
CHEŁMSKI,False,True,False,300.0764605247466,69.69377289195154,69.69377289195154
CHODZIESKI,True,False,False,101.64620842679584,101.64620842679584,332.4114102647224
CHOJNICKI,True,False,False,121.52510790406781,121.52510790406781,405.71829966137483
CHORZÓW,False,False,True,10.693093944841745,2.4836439994307837,2.4836439994307837
CHRZANOWSKI,False,False,True,43.7732353234354,9.873761572661875,9.873761572661875
CIECHANOWSKI,False,True,False,32.486747102600795,32.486747102600795,255.53175006615737
CIESZYŃSKI,False,False,True,49.32665623782098,63.44564567807756,49.32665623782098
CZARNKOWSKI,True,False,False,117.80132757558368,117.80132757558368,335.3214375240255
CZORTKOWSKI,False,False,True,506.5053151956507,85.20276020872583,85.20276020872583
CZĘSTOCHOWA (MIASTO),False,True,False,15.487673886145636,15.487673886145636,57.30548804448413
CZĘSTOCHOWSKI,False,True,False,13.669874431412538,13.669874431412538,61.78512252379524
DOBROMILSKI,False,False,True,272.60100756836,77.82303764309181,77.82303764309181
DOLIŃSKI,False,False,True,391.7422945202914,162.22591747303915,162.22591747303915
DROHICKI,False,True,False,334.81918010797307,185.74619962426056,185.74619962426056
DROHOBYCKI,False,False,True,341.74085131771915,112.11756818560772,112.11756818560772
DUBIEŃSKI,False,True,False,457.19795233713876,28.050935584491747,28.050935584491747
DZIAŁDOWSKI,True,False,False,9.239165417191092,9.239165417191092,313.0661900748402
DZIŚNIEŃSKI,False,True,False,514.1337184631312,514.1337184631312,565.545157127815
DĄBROWSKI,False,False,True,137.1935099209275,2.37900502553595,2.37900502553595
FRYSZTACKI,False,False,True,22.08288354078287,63.12401629795866,22.08288354078287
GARWOLIŃSKI,False,True,False,173.44124969985657,120.14401982072366,120.14401982072366
GDYNIA (MIASTO),True,False,False,161.56875269008307,161.56875269008307,471.8346877405363
GNIEZNO (MIASTO),True,False,False,32.03950283595996,32.03950283595996,264.7515372083767
GNIEŹNIEŃSKI,True,False,False,33.931553593039524,33.931553593039524,266.5175734128492
GORLICKI,False,False,True,178.59768143755795,70.39317473419437,70.39317473419437
GOSTYNIŃSKI,False,True,False,75.25936163631773,75.25936163631773,239.73268660842686
GOSTYŃSKI,True,False,False,49.000487333729595,49.000487333729595,216.2701230867416
GRODZIEŃSKI,False,True,False,231.87686491678662,231.87686491678662,327.8303798969752
GRUDZIĄDZ (MIASTO),True,False,False,45.80780955227474,45.80780955227474,354.06787399005765
GRUDZIĄDZKI,True,False,False,41.264859420347385,41.264859420347385,354.04294116140704
GRÓDECKI,False,False,True,335.24600620526763,63.40387566232777,63.40387566232777
GRÓJECKI,False,True,False,147.05459160106122,142.8364208922977,142.8364208922977
HOROCHOWSKI,False,True,False,400.9652367557443,16.487016642756437,16.487016642756437
HORODEŃSKI,False,False,True,494.6275889621685,119.86922650879151,119.86922650879151
HRUBIESZOWSKI,False,True,False,332.00434985310136,22.423154267809693,22.423154267809693
INOWROCŁAW (MIASTO),True,False,False,16.976535052535578,16.976535052535578,281.15463535060223
INOWROCŁAWSKI,True,False,False,14.468336053211491,14.468336053211491,289.7456506426054
IWACEWICKI,False,True,False,323.9692006779502,235.55045492221933,235.55045492221933
IŁŻECKI,False,True,False,169.32956365087276,56.73818441422138,56.73818441422138
JANOWSKI,False,True,False,221.17086318665176,19.35945521491607,19.35945521491607
JAROCIŃSKI,True,False,False,7.555489397443214,7.555489397443214,208.49095107769523
JAROSŁAWSKI,False,False,True,262.83526728403524,26.274984161274116,26.274984161274116
JASIELSKI,False,False,True,188.23551511532511,65.66727450574072,65.66727450574072
JAWOROWSKI,False,False,True,307.8091064417861,42.07686050866173,42.07686050866173
JĘDRZEJOWSKI,False,True,False,81.12832404307989,56.865414220059755,56.865414220059755
KALISKI,False,True,False,13.936008415971662,13.936008415971662,174.12300440929798
KAMIONECKI,False,False,True,385.400251929377,34.78146187700696,34.78146187700696
KARTUSKI,True,False,False,148.7175835774743,148.7175835774743,450.1508943943677
KATOWICE (MIASTO),False,False,True,16.39677205123403,4.9792902039970794,4.9792902039970794
KATOWICKI,False,False,True,16.034108865476874,4.928920798797893,4.928920798797893
KAŁUSKI,False,False,True,412.8920837816219,133.7844528396176,133.7844528396176
KIELECKI,False,True,False,113.57321340665251,69.35663847407308,69.35663847407308
KOBRYŃSKI,False,True,False,286.3134138514116,166.1372046816903,166.1372046816903
KOLBUSZOWSKI,False,False,True,196.37567733732382,30.853131402014373,30.853131402014373
KOLSKI,False,True,False,39.4124636169834,39.4124636169834,217.06022268107498
KONECKI,False,True,False,107.97287572920031,103.3408844277706,103.3408844277706
KONIŃSKI,False,True,False,15.937995324923067,15.937995324923067,222.13989371726007
KOPYCZYNIECKI,False,False,True,520.7144321439782,71.75931688869265,71.75931688869265
KOSOWSKI (KOSÓW HUCULSKI),False,False,True,496.91565287269395,195.2635174232791,195.2635174232791
KOSTOPOLSKI,False,True,False,477.3926250010278,125.59862049606048,125.59862049606048
KOSZYRSKI,False,True,False,349.48060277058,130.17912822485013,130.17912822485013
KOWELSKI,False,True,False,352.3769401073867,85.48044506141397,85.48044506141397
KOZIENICKI,False,True,False,195.3835949609919,92.67894691092215,92.67894691092215
KOŁOMYJSKI,False,False,True,481.41777450495465,148.97337894875983,148.97337894875983
KOŚCIAŃSKI,True,False,False,72.70883986599485,72.70883986599485,253.35047010458612
KOŚCIERSKI,True,False,False,124.62028331122953,124.62028331122953,423.32070482246866
KRAKOWSKI,False,False,True,78.18887623281958,14.2762810656956,14.2762810656956
KRAKÓW (MIASTO),False,False,True,77.88405441021459,11.138731113039887,11.138731113039887
KRASNOSTAWSKI,False,True,False,273.87875194387186,51.09883666693676,51.09883666693676
KROTOSZYŃSKI,True,False,False,30.168350265932673,30.168350265932673,196.08525572805482
KROŚNIEŃSKI,False,False,True,207.75952130058138,79.9209699330296,79.9209699330296
KRZEMIENIECKI,False,True,False,483.578684881679,20.334450518820763,20.334450518820763
KUTNOWSKI,False,True,False,70.37491392517698,70.37491392517698,218.1148613325881
KĘPIŃSKI,True,False,False,8.155774154184225,8.155774154184225,134.9956501940716
LESKI,False,False,True,275.27519895659265,111.68363046432039,111.68363046432039
LESZCZYŃSKI,True,False,False,77.87188672023342,77.87188672023342,235.95905334720857
LIDZKI,False,True,False,312.72398196217216,312.72398196217216,377.1750020810633
LIMANOWSKI,False,False,True,122.67089021889744,36.460535934603094,36.460535934603094
LIPNOWSKI,False,True,False,24.728221694046507,24.728221694046507,283.8773755467029
LUBACZOWSKI,False,False,True,289.3827545849317,11.704160098671535,11.704160098671535
LUBARTOWSKI,False,True,False,238.099822953577,94.07647874418284,94.07647874418284
LUBAWSKI,True,False,False,33.62262752015835,33.62262752015835,343.04559743224956
LUBELSKI,False,True,False,251.6525842011151,61.55403369981552,61.55403369981552
LUBLIN (MIASTO),False,True,False,252.4954383080371,68.88141458515024,68.88141458515024
LUBLINIECKI,True,False,False,10.358611603738044,10.358611603738044,40.54636477253482
LUBOMELSKI,False,True,False,307.04643726900883,77.26108500030443,77.26108500030443
LWOWSKI,False,False,True,363.04195784019277,78.5945015137279,78.5945015137279
LWÓW (MIASTO),False,False,True,359.1015719187058,75.03924032993025,75.03924032993025
MAKOWSKI (MAKÓW MAZOWIECKI),False,True,False,51.03366701406736,51.03366701406736,251.35426520188778
MIECHOWSKI,False,True,False,76.74191221123247,16.691404339628942,16.691404339628942
MIELECKI,False,False,True,165.02028944782123,13.7960684179883,13.7960684179883
MIĘDZYCHODZKI,True,False,False,128.85902910228626,128.85902910228626,324.956111738975
MIŃSKI,False,True,False,138.22078550255074,138.22078550255074,160.46216731234784
MOGILEŃSKI,True,False,False,19.244108650444076,19.244108650444076,267.0458002824674
MORSKI,True,False,False,174.96067951543495,174.96067951543495,482.31000295811543
MOŁODECZAŃSKI,False,True,False,420.61608007781143,420.61608007781143,436.6962470809925
MOŚCISKI,False,False,True,303.05261379922933,58.47400589558151,58.47400589558151
MYŚLENICKI,False,False,True,97.56409526457519,33.08213114189449,33.08213114189449
MŁAWSKI,False,True,False,7.280957241856742,7.280957241856742,286.94976077278574
NADWÓRNIAŃSKI,False,False,True,447.73365822189965,165.06015540611006,165.06015540611006
NIESZAWSKI,False,True,False,11.99628083865959,11.99628083865959,261.78625015742466
NIEŚWIESKI,False,True,False,398.30544190656235,319.8568201155895,319.8568201155895
NIŻAŃSKI,False,False,True,215.95827560919628,18.709302800760913,18.709302800760913
NOWOGRÓDZKI,False,True,False,340.9185906483266,340.9185906483266,343.2934713396744
NOWOSĄDECKI,False,False,True,158.0833466511381,61.753575797032234,61.753575797032234
NOWOTARSKI,False,False,True,124.54812050756523,65.71401193636316,65.71401193636316
NOWOTOMYSKI,True,False,False,105.49081665839616,105.49081665839616,293.39366677585895
OBORNICKI,True,False,False,82.75895978243199,82.75895978243199,303.84891567412706
OLKUSKI,False,True,False,44.519548774506205,16.319244293330055,16.319244293330055
OPATOWSKI,False,True,False,162.80296532433053,32.77924636426889,32.77924636426889
OPOCZYŃSKI,False,True,False,119.65971478810333,119.65971478810333,129.04940536496716
OSTROWSKI (OSTRÓW MAZOWIECKA),False,True,False,100.81851131213116,100.81851131213116,227.3550189281641
OSTROWSKI (OSTRÓW WIELKOPOLSKI),True,False,False,16.156785624967657,16.156785624967657,167.15273127595944
OSTROŁĘCKI,False,True,False,59.61275639450799,59.61275639450799,276.1797700126951
OSZMIAŃSKI,False,True,False,371.3744445822938,371.3744445822938,434.1217773293629
PIOTRKOWSKI,False,True,False,80.15104973407472,80.15104973407472,124.20493118115316
PIŃCZOWSKI,False,True,False,102.84832830999093,23.92571686337181,23.92571686337181
PIŃSKI,False,True,False,386.21907694871464,197.25873399406754,197.25873399406754
PODHAJECKI,False,False,True,456.6978881105977,68.02015375651538,68.02015375651538
POSTAWSKI,False,True,False,459.40536137204407,459.40536137204407,525.6778956814059
POZNAŃ (MIASTO),True,False,False,64.74523589835793,64.74523589835793,275.35154927856627
POZNAŃSKI,True,False,False,66.92254422065335,66.92254422065335,277.15099292651337
POŁUDNIOWO-WARSZAWSKI,False,True,False,111.31738349534659,111.31738349534659,176.34335086069123
PRASKO-WARSZAWSKI,False,True,False,108.89316383969084,108.89316383969084,179.11864085574967
PRUŻAŃSKI,False,True,False,269.87717378381853,211.0020263336427,211.0020263336427
PRZASNYCKI,False,True,False,20.32482223113418,20.32482223113418,279.7034894956717
PRZEMYSKI,False,False,True,271.57011267771173,56.94628534944537,56.94628534944537
PRZEMYŚLAŃSKI,False,False,True,401.72512451492474,65.64295218716777,65.64295218716777
PRZEWORSKI,False,False,True,243.9779979968935,34.06603230639117,34.06603230639117
PSZCZYŃSKI,False,False,True,19.951787510698246,25.666821993631068,19.951787510698246
PUŁAWSKI,False,True,False,219.60685757676592,65.28211037761501,65.28211037761501
PUŁTUSKI,False,True,False,71.28273670786426,71.28273670786426,221.49432946289656
PÓŁNOCNO-WARSZAWSKI,False,True,False,104.31440342882519,104.31440342882519,183.36076626126626
PŁOCKI,False,True,False,58.313293488843314,58.313293488843314,250.38909457373268
PŁOŃSKI,False,True,False,59.87711737128973,59.87711737128973,232.5190025398588
RADOM (MIASTO),False,True,False,165.58170589095403,91.77120690815168,91.77120690815168
RADOMSKI,False,True,False,161.98806789069832,99.12695501655118,99.12695501655118
RADOMSZCZAŃSKI,False,True,False,48.08069549211844,48.08069549211844,87.37833059154144
RADZIECHOWSKI,False,False,True,400.9272215646929,10.135984590673399,10.135984590673399
RADZYMIŃSKI,False,True,False,103.71244982385387,103.71244982385387,193.72674317261624
RADZYŃSKI,False,True,False,214.7090054443181,136.45924472824674,136.45924472824674
RAWICKI,True,False,False,64.14518991076808,64.14518991076808,200.5925303188289
RAWSKI (RAWA MAZOWIECKA),False,True,False,141.37297167594497,141.37297167594497,152.69375485307214
RAWSKI (RAWA RUSKA),False,False,True,325.2429426274044,23.415800537964035,23.415800537964035
ROHATYŃSKI,False,False,True,416.2922629283628,87.57302921811802,87.57302921811802
ROPCZYCKI,False,False,True,177.79512710573215,36.97645486883978,36.97645486883978
RUDECKI,False,False,True,335.8814307207817,84.67851976112878,84.67851976112878
RYBNICKI,False,False,True,14.587450015061856,42.561779553495214,14.587450015061856
RYPIŃSKI,False,True,False,10.271684862681077,10.271684862681077,307.4984332589711
RZESZOWSKI,False,False,True,212.96373443819368,55.6814317721112,55.6814317721112
RÓWIEŃSKI,False,True,False,493.62327169492306,101.50852120215637,101.50852120215637
SAMBORSKI,False,False,True,312.65725785501144,87.60840381391529,87.60840381391529
SANDOMIERSKI,False,True,False,166.9168695665617,12.354176661598316,12.354176661598316
SANOCKI,False,False,True,239.9040021375277,100.14321500155582,100.14321500155582
SARNEŃSKI,False,True,False,452.4670096880331,155.98836549118533,155.98836549118533
SIEDLECKI,False,True,False,169.66496443940127,166.20479800473873,166.20479800473873
SIERADZKI,False,True,False,41.2668894449526,41.2668894449526,145.00008368568297
SIERPECKI,False,True,False,29.210930134256973,29.210930134256973,277.25682779880947
SKAŁACKI,False,False,True,513.1412470601707,38.79527996142867,38.79527996142867
SKIERNIEWICKI,False,True,False,137.00243814450693,137.00243814450693,175.3127397571686
SOCHACZEWSKI,False,True,False,94.64417690563508,94.64417690563508,205.94625930295734
SOKALSKI,False,False,True,363.2557944722228,16.602860378693094,16.602860378693094
SOKOŁOWSKI,False,True,False,140.3997214193819,140.3997214193819,197.58189306939323
SOKÓLSKI,False,True,False,184.77250014584493,184.77250014584493,313.5047006461558
